antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,Antecedent_Item,Consequent_Item,product_name_ant,Antecedent_Dept,product_name_con,Consequent_Dept
frozenset({'Organic Raspberries'}),"frozenset({'Organic Strawberries', 'Bag of Organic Bananas'})",0.0469490989566866,0.0195041066587739,0.0036088819528995,0.0768679704849917,3.941117213405539,1.0,0.0026931817193149,1.0621404761097448,0.7830272663177988,0.0574257425742574,0.0585049506232397,0.1309499362685348,Organic Raspberries,,Organic Raspberries,produce,,
frozenset({'Organic Avocado'}),"frozenset({'Organic Baby Spinach', 'Banana'})",0.0582197079260868,0.0160398490525423,0.0035348881011159,0.0607163489312536,3.785344159559276,1.0,0.0026010527740984,1.0475644389507652,0.7813109219337114,0.0499809777439604,0.0454047857890303,0.1405489901502567,Organic Avocado,,Organic Avocado,produce,,
frozenset({'Apple Honeycrisp Organic'}),"frozenset({'Organic Hass Avocado', 'Bag of Organic Bananas'})",0.0280907568225694,0.0202642253180053,0.0021525484155225,0.0766283524904214,3.781459754216945,1.0,0.0015833109899167,1.0610416480995877,0.7568112606845001,0.0465895028026497,0.0575299265668959,0.0914262094402314,Apple Honeycrisp Organic,,Apple Honeycrisp Organic,produce,,
frozenset({'Organic Baby Carrots'}),frozenset({'Original Hummus'}),0.0243372505230019,0.0227665628510503,0.0020011973550561,0.0822277501381979,3.6117770906469606,1.0,0.0014471218114024,1.064788608825448,0.7411659260478942,0.0443698732289336,0.0608464518576276,0.0850642370132561,Organic Baby Carrots,Original Hummus,Organic Baby Carrots,produce,Original Hummus,deli
frozenset({'Original Hummus'}),frozenset({'Organic Baby Carrots'}),0.0227665628510503,0.0243372505230019,0.0020011973550561,0.0879007238883143,3.61177709064696,1.0,0.0014471218114024,1.0696892049254616,0.7399746649441906,0.0443698732289336,0.0651490214209627,0.0850642370132561,Original Hummus,Organic Baby Carrots,Original Hummus,deli,Organic Baby Carrots,produce
frozenset({'Organic Hass Avocado'}),"frozenset({'Organic Strawberries', 'Bag of Organic Bananas'})",0.068471219755013,0.0195041066587739,0.0046986095882578,0.0686216720699479,3.5183191555752815,1.0,0.0033631396150997,1.052736427226448,0.7683856734061048,0.056421647819063,0.050094616147546,0.1547626380698075,Organic Hass Avocado,,Organic Hass Avocado,produce,,
frozenset({'Organic Hass Avocado'}),"frozenset({'Organic Baby Spinach', 'Bag of Organic Bananas'})",0.068471219755013,0.0160297589818446,0.0036256987373958,0.0529521564004322,3.3033657249872683,1.0,0.00252812158753,1.0389868343696893,0.7485312987771274,0.0448307410795974,0.0375238964344922,0.1395688184436068,Organic Hass Avocado,,Organic Hass Avocado,produce,,
frozenset({'Blueberries'}),frozenset({'Strawberries'}),0.0189020657738075,0.0490411069480226,0.0029193937885524,0.1544483985765124,3.1493660765081843,1.0,0.0019924155594006,1.1246609804192156,0.6956245226845515,0.0448973258159623,0.1108431630416736,0.1069889616502341,Blueberries,Strawberries,Blueberries,frozen,Strawberries,produce
frozenset({'Strawberries'}),frozenset({'Blueberries'}),0.0490411069480226,0.0189020657738075,0.0029193937885524,0.0595295247239558,3.1493660765081843,1.0,0.0019924155594006,1.0431990796289734,0.7176711708458592,0.0448973258159623,0.0414101972217399,0.1069889616502341,Strawberries,Blueberries,Strawberries,produce,Blueberries,frozen
frozenset({'Large Lemon'}),"frozenset({'Banana', 'Organic Avocado'})",0.0497642286813622,0.0171295766879006,0.0026503252366121,0.053257637199243,3.1091041051155193,1.0,0.0017978850651005,1.0381603928702043,0.7138901299088919,0.0412543845871943,0.0367577044282167,0.103989902440187,Large Lemon,,Large Lemon,produce,,
frozenset({'Organic Raspberries'}),"frozenset({'Organic Strawberries', 'Banana'})",0.0469490989566866,0.0177551610711619,0.0024081635398658,0.0512930725696683,2.88891057445708,1.0,0.0015745747257439,1.0353511822553538,0.6860585846249644,0.0386567325342835,0.034144146315984,0.0934624105034361,Organic Raspberries,,Organic Raspberries,produce,,
frozenset({'Organic Roasted Turkey Breast'}),frozenset({'Organic Hass Avocado'}),0.0101607011926463,0.068471219755013,0.0020045607119553,0.1972856669976829,2.8812933040124316,1.0,0.0013088451077286,1.1604735856165385,0.6596359970134217,0.026159856033007,0.1382828421133616,0.1132808136540629,Organic Roasted Turkey Breast,Organic Hass Avocado,Organic Roasted Turkey Breast,deli,Organic Hass Avocado,produce
frozenset({'Organic Zucchini'}),"frozenset({'Organic Hass Avocado', 'Bag of Organic Bananas'})",0.0345517654260364,0.0202642253180053,0.0020011973550561,0.0579188163146111,2.858180631417893,1.0,0.001301032595328,1.039969581866928,0.6733940338883377,0.0378908488823791,0.0384334143650391,0.0783370015183014,Organic Zucchini,,Organic Zucchini,produce,,
frozenset({'Organic Whole Strawberries'}),frozenset({'Organic Baby Spinach'}),0.0094241260317097,0.0767787112961704,0.0020550110654441,0.2180585296216988,2.8400910348774633,1.0,0.0013314388136368,1.1806782523724924,0.654062578562739,0.0244214397058235,0.1530292033493727,0.1224119527379564,Organic Whole Strawberries,Organic Baby Spinach,Organic Whole Strawberries,frozen,Organic Baby Spinach,produce
frozenset({'Feta Cheese Crumbles'}),frozenset({'Organic Baby Spinach'}),0.0103725926772993,0.0767787112961704,0.0022399956949031,0.2159533073929961,2.8126716865560013,1.0,0.00144360139634,1.1775080456421052,0.6512209978451593,0.0263804166996752,0.1507489025650848,0.122564002566307,Feta Cheese Crumbles,Organic Baby Spinach,Feta Cheese Crumbles,dairy eggs,Organic Baby Spinach,produce
frozenset({'Organic Whole String Cheese'}),frozenset({'Organic Hass Avocado'}),0.019544466941565,0.068471219755013,0.0036256987373958,0.1855102392015143,2.709316992822117,1.0,0.0022874652464453,1.1436961212769108,0.6434797545071748,0.0429636124506795,0.1256418716507295,0.1192311978009733,Organic Whole String Cheese,Organic Hass Avocado,Organic Whole String Cheese,dairy eggs,Organic Hass Avocado,produce
frozenset({'Organic Hass Avocado'}),frozenset({'Organic Whole String Cheese'}),0.068471219755013,0.019544466941565,0.0036256987373958,0.0529521564004322,2.709316992822117,1.0,0.0022874652464453,1.035275609025084,0.6772772877202128,0.0429636124506795,0.0340736406011756,0.1192311978009733,Organic Hass Avocado,Organic Whole String Cheese,Organic Hass Avocado,produce,Organic Whole String Cheese,dairy eggs
frozenset({'Organic Strawberries'}),"frozenset({'Organic Hass Avocado', 'Bag of Organic Bananas'})",0.0857992344999697,0.0202642253180053,0.0046986095882578,0.0547628381027048,2.702439261472598,1.0,0.002959954568238,1.0364973090091518,0.6890870749110657,0.0463534408388081,0.0352121599274019,0.1433150290098586,Organic Strawberries,,Organic Strawberries,produce,,
frozenset({'100% Raw Coconut Water'}),frozenset({'Organic Hass Avocado'}),0.0120979947666166,0.068471219755013,0.0022029987690113,0.1820961912705032,2.6594559279363668,1.0,0.0013746343107513,1.1389221694565663,0.6316246320135089,0.0281115879828326,0.1219768770704082,0.1071351375843625,100% Raw Coconut Water,Organic Hass Avocado,100% Raw Coconut Water,beverages,Organic Hass Avocado,produce
frozenset({'Organic Whole String Cheese'}),frozenset({'Organic Strawberries'}),0.019544466941565,0.0857992344999697,0.0043925441104257,0.2247461710548959,2.619442613499951,1.0,0.0027156438081294,1.179227668883613,0.6305634197250642,0.043511577544561,0.1519873334156834,0.1379708903098862,Organic Whole String Cheese,Organic Strawberries,Organic Whole String Cheese,dairy eggs,Organic Strawberries,produce
frozenset({'Organic Strawberries'}),frozenset({'Organic Whole String Cheese'}),0.0857992344999697,0.019544466941565,0.0043925441104257,0.0511956095648765,2.619442613499951,1.0,0.0027156438081294,1.0333589757197437,0.6762621703511,0.043511577544561,0.0322820786421377,0.1379708903098862,Organic Strawberries,Organic Whole String Cheese,Organic Strawberries,produce,Organic Whole String Cheese,dairy eggs
frozenset({'Organic Unsweetened Almond Milk'}),frozenset({'Organic Baby Spinach'}),0.0182462111784529,0.0767787112961704,0.0036088819528995,0.1977880184331797,2.5760789038281877,1.0,0.0022079613725801,1.1508445522100816,0.6231838771684842,0.0394775570272259,0.131072916772643,0.1223958490623932,Organic Unsweetened Almond Milk,Organic Baby Spinach,Organic Unsweetened Almond Milk,dairy eggs,Organic Baby Spinach,produce
frozenset({'Organic Unsweetened Almond Milk'}),frozenset({'Organic Hass Avocado'}),0.0182462111784529,0.068471219755013,0.0031750089128957,0.1740092165898617,2.5413482805251437,1.0,0.0019256685775995,1.1277713976409405,0.6177802342398117,0.0380047505938242,0.1132954762890876,0.1101895969971609,Organic Unsweetened Almond Milk,Organic Hass Avocado,Organic Unsweetened Almond Milk,dairy eggs,Organic Hass Avocado,produce
"frozenset({'Milk, Organic, Vitamin D'})",frozenset({'Bag of Organic Bananas'}),0.0065484558828475,0.1253455849213983,0.0020247408533509,0.3091936312275295,2.466729334115904,1.0,0.0012039208203834,1.2661354246528158,0.5985243039494532,0.0155906042006578,0.2101950703462801,0.1626734497234567,"Milk, Organic, Vitamin D",Bag of Organic Bananas,"Milk, Organic, Vitamin D",dairy eggs,Bag of Organic Bananas,produce
frozenset({'Boneless Skinless Chicken Breasts'}),frozenset({'Organic Avocado'}),0.0171867537551879,0.0582197079260868,0.0024586138933546,0.1430528375733855,2.4571204952625147,1.0,0.00145800610953,1.098994586092189,0.6033898650087132,0.0337037207801189,0.0900774101574008,0.0926413812361439,Boneless Skinless Chicken Breasts,Organic Avocado,Boneless Skinless Chicken Breasts,meat seafood,Organic Avocado,produce
frozenset({'Organic Reduced Fat Milk'}),frozenset({'Organic Strawberries'}),0.0107997390035046,0.0857992344999697,0.0022366323380039,0.2071005917159763,2.4137813457537245,1.0,0.0013100229987037,1.1529845475336202,0.5921068673294873,0.0237025948103792,0.1326856876450543,0.1165844001308223,Organic Reduced Fat Milk,Organic Strawberries,Organic Reduced Fat Milk,dairy eggs,Organic Strawberries,produce
frozenset({'Shredded Parmesan'}),frozenset({'Organic Baby Spinach'}),0.0118692864974673,0.0767787112961704,0.0021861819845151,0.1841881552847832,2.3989482523910253,1.0,0.0012748734632345,1.1316595789634647,0.5901553815101109,0.0252849418446337,0.1163420355475249,0.1063309796925055,Shredded Parmesan,Organic Baby Spinach,Shredded Parmesan,dairy eggs,Organic Baby Spinach,produce
frozenset({'Organic Whole String Cheese'}),frozenset({'Organic Raspberries'}),0.019544466941565,0.0469490989566866,0.0021996354121121,0.1125451729478575,2.3971742897917396,1.0,0.0012820402996168,1.0739148314839428,0.5944605958344406,0.0342121782799748,0.0688274612818289,0.0796983333039309,Organic Whole String Cheese,Organic Raspberries,Organic Whole String Cheese,dairy eggs,Organic Raspberries,produce
frozenset({'Organic Black Beans'}),frozenset({'Organic Baby Spinach'}),0.0115262240937434,0.0767787112961704,0.0020852812775374,0.1809162532827546,2.3563335490859987,1.0,0.0012003126455089,1.1271390653323918,0.5823238604526855,0.0241856836356543,0.1127980293140657,0.1040379409045628,Organic Black Beans,Organic Baby Spinach,Organic Black Beans,canned goods,Organic Baby Spinach,produce
frozenset({'Mango Chunks'}),frozenset({'Banana'}),0.0056168060217541,0.1551886506884791,0.0020314675671494,0.3616766467065868,2.3305611918271345,1.0,0.0011598030194544,1.3234849468576355,0.5741436504506865,0.0127947126485478,0.2444190601681489,0.187383478421454,Mango Chunks,Banana,Mango Chunks,frozen,Banana,produce
frozenset({'Whipped Cream Cheese'}),frozenset({'Organic Strawberries'}),0.0108737328552882,0.0857992344999697,0.0021088247758322,0.1939375193318898,2.260364214927329,1.0,0.0011758668206913,1.1341562067772823,0.5637231962724908,0.022300469483568,0.1182872394257654,0.1092580579803314,Whipped Cream Cheese,Organic Strawberries,Whipped Cream Cheese,dairy eggs,Organic Strawberries,produce
frozenset({'Organic Sticks Low Moisture Part Skim Mozzarella String Cheese'}),frozenset({'Organic Strawberries'}),0.0112167952590121,0.0857992344999697,0.0020953713482352,0.1868065967016491,2.1772524870453833,1.0,0.0011329789014691,1.1242107496101037,0.5468393272169507,0.0220749769683225,0.11048706806369,0.105614196038006,Organic Sticks Low Moisture Part Skim Mozzarella String Cheese,Organic Strawberries,Organic Sticks Low Moisture Part Skim Mozzarella String Cheese,dairy eggs,Organic Strawberries,produce
frozenset({'Grated Parmesan'}),frozenset({'Organic Baby Spinach'}),0.0150812923362549,0.0767787112961704,0.0024922474623472,0.1652542372881356,2.152344504073202,1.0,0.0013343252720887,1.1059909854523036,0.543588377646799,0.0278875465733318,0.0958334985062808,0.0988571869811976,Grated Parmesan,Organic Baby Spinach,Grated Parmesan,dairy eggs,Organic Baby Spinach,produce
frozenset({'Frozen Organic Wild Blueberries'}),frozenset({'Bag of Organic Bananas'}),0.008872535500232,0.1253455849213983,0.0023879833984703,0.2691432903714936,2.1472099758461205,1.0,0.0012758502464578,1.1967522546563023,0.539062210539779,0.0181140932748239,0.1644051673107632,0.1440972435543203,Frozen Organic Wild Blueberries,Bag of Organic Bananas,Frozen Organic Wild Blueberries,frozen,Bag of Organic Bananas,produce
frozenset({'Boneless Skinless Chicken Breasts'}),frozenset({'Organic Baby Spinach'}),0.0171867537551879,0.0767787112961704,0.0028184930815748,0.1639921722113503,2.1359068085781976,1.0,0.0014989162768869,1.1043213448681108,0.5411147861491479,0.0309225092250922,0.0944664751368812,0.1003507382872066,Boneless Skinless Chicken Breasts,Organic Baby Spinach,Boneless Skinless Chicken Breasts,meat seafood,Organic Baby Spinach,produce
frozenset({'Original Hummus'}),frozenset({'Organic Baby Spinach'}),0.0227665628510503,0.0767787112961704,0.0036929658753809,0.1622100753434776,2.1126959883158163,1.0,0.0019449785190339,1.1019722982253963,0.5389409656406908,0.0385276676374609,0.0925361720885463,0.1051544506733158,Original Hummus,Organic Baby Spinach,Original Hummus,deli,Organic Baby Spinach,produce
frozenset({'Large Alfresco Eggs'}),frozenset({'Organic Hass Avocado'}),0.014089102050975,0.068471219755013,0.0020247408533509,0.1437097159226545,2.0988338814007026,1.0,0.0010600428506677,1.0878656427226792,0.5310266394219951,0.0251409480058467,0.0807688369519342,0.0866402003328765,Large Alfresco Eggs,Organic Hass Avocado,Large Alfresco Eggs,dairy eggs,Organic Hass Avocado,produce
frozenset({'No Salt Added Black Beans'}),frozenset({'Banana'}),0.0093333153954298,0.1551886506884791,0.0030001143541345,0.3214414414414414,2.071294775844742,1.0,0.0015516897314678,1.2450087596067283,0.5220829603796396,0.0185740463101782,0.1967927998226467,0.1703867444306533,No Salt Added Black Beans,Banana,No Salt Added Black Beans,canned goods,Banana,produce
frozenset({'Organic Whole String Cheese'}),frozenset({'Bag of Organic Bananas'}),0.019544466941565,0.1253455849213983,0.0050483987057802,0.2583032180347616,2.0607284907301544,1.0,0.0025985860650128,1.17926143991224,0.524995470829124,0.0361008225503872,0.1520116183274681,0.1492895289486892,Organic Whole String Cheese,Bag of Organic Bananas,Organic Whole String Cheese,dairy eggs,Bag of Organic Bananas,produce
frozenset({'Icelandic Style Skyr Blueberry Non-fat Yogurt'}),frozenset({'Banana'}),0.0066493565898251,0.1551886506884791,0.0020953713482352,0.3151239251390996,2.0305861526669857,1.0,0.0010634666711137,1.2335243999917846,0.5109287076650325,0.0131171702284451,0.1893147796617076,0.1643130082772718,Icelandic Style Skyr Blueberry Non-fat Yogurt,Banana,Icelandic Style Skyr Blueberry Non-fat Yogurt,dairy eggs,Banana,produce
frozenset({'Organic Whole String Cheese'}),frozenset({'Organic Baby Spinach'}),0.019544466941565,0.0767787112961704,0.0030337479231271,0.1552228532094303,2.02169130725137,1.0,0.0015331489383831,1.0928577935746493,0.5154386167504443,0.0325197389768179,0.0849678650969939,0.097367866065027,Organic Whole String Cheese,Organic Baby Spinach,Organic Whole String Cheese,dairy eggs,Organic Baby Spinach,produce
frozenset({'Organic Roasted Turkey Breast'}),frozenset({'Bag of Organic Bananas'}),0.0101607011926463,0.1253455849213983,0.0025662413141308,0.2525653757034095,2.014952308545914,1.0,0.001292642279927,1.1702085863385543,0.508880925099183,0.0193037494307544,0.1454514932855834,0.1365193520139887,Organic Roasted Turkey Breast,Bag of Organic Bananas,Organic Roasted Turkey Breast,deli,Bag of Organic Bananas,produce
frozenset({'Uncured Genoa Salami'}),frozenset({'Organic Strawberries'}),0.0137460396472511,0.0857992344999697,0.0023610765432763,0.171764130168828,2.0019308000806064,1.0,0.0011816768641359,1.1037927706347486,0.5074577690841097,0.0242948607025436,0.0940328414862341,0.0996413751588946,Uncured Genoa Salami,Organic Strawberries,Uncured Genoa Salami,deli,Organic Strawberries,produce
frozenset({'Total 2% All Natural Greek Strained Yogurt with Honey'}),frozenset({'Banana'}),0.0078467116459596,0.1551886506884791,0.0024317070381606,0.3099014144877839,1.9969334942532,1.0,0.0012139864454826,1.224189365182471,0.5031805086836184,0.0151410441666143,0.1831329135497386,0.1627853878966736,Total 2% All Natural Greek Strained Yogurt with Honey,Banana,Total 2% All Natural Greek Strained Yogurt with Honey,dairy eggs,Banana,produce
frozenset({'Organic Whole Strawberries'}),frozenset({'Bag of Organic Bananas'}),0.0094241260317097,0.1253455849213983,0.0023543498294778,0.2498215560314061,1.993062270107592,1.0,0.0011730772396601,1.165928482897356,0.5029998641857939,0.0177800355600711,0.1423144603904179,0.1343022130269728,Organic Whole Strawberries,Bag of Organic Bananas,Organic Whole Strawberries,frozen,Bag of Organic Bananas,produce
frozenset({'Unsweetened Almondmilk'}),frozenset({'Organic Hass Avocado'}),0.016645253294408,0.068471219755013,0.0022601758362986,0.1357850070721357,1.983096073912052,1.0,0.0011204550400994,1.0778900943260323,0.5041293570199712,0.0272782626344631,0.0722616292106611,0.084397071764774,Unsweetened Almondmilk,Organic Hass Avocado,Unsweetened Almondmilk,dairy eggs,Organic Hass Avocado,produce
frozenset({'Organic Whole Milk'}),frozenset({'Organic Strawberries'}),0.0432561330813057,0.0857992344999697,0.0073085745420789,0.1689604229842158,1.9692532686206592,1.0,0.0035972314362741,1.1000688664947502,0.5144462577179473,0.0600309409359633,0.090966001804604,0.1270713522212337,Organic Whole Milk,Organic Strawberries,Organic Whole Milk,dairy eggs,Organic Strawberries,produce
frozenset({'Organic Strawberries'}),frozenset({'Organic Whole Milk'}),0.0857992344999697,0.0432561330813057,0.0073085745420789,0.0851822814582516,1.9692532686206592,1.0,0.0035972314362741,1.0458300572094053,0.538386446943862,0.0600309409359633,0.0438217059200744,0.1270713522212337,Organic Strawberries,Organic Whole Milk,Organic Strawberries,produce,Organic Whole Milk,dairy eggs
frozenset({'Original Hummus'}),frozenset({'Organic Avocado'}),0.0227665628510503,0.0582197079260868,0.0025763313848285,0.1131629487368887,1.9437223711351383,1.0,0.0012508687451595,1.0619541557635046,0.4968344463949581,0.0328572041350319,0.0583397648827523,0.0787074131321647,Original Hummus,Organic Avocado,Original Hummus,deli,Organic Avocado,produce
frozenset({'Original Hummus'}),frozenset({'Organic Raspberries'}),0.0227665628510503,0.0469490989566866,0.0020617377792427,0.0905599054513222,1.928895494562506,1.0,0.0009928681670451,1.0479534680250469,0.4927876773249215,0.0304747700720855,0.0457591577185377,0.0672371129806937,Original Hummus,Organic Raspberries,Original Hummus,deli,Organic Raspberries,produce
frozenset({'Organic Unsweetened Almond Milk'}),frozenset({'Bag of Organic Bananas'}),0.0182462111784529,0.1253455849213983,0.0043824540397279,0.240184331797235,1.9161770392459352,1.0,0.0020953720269654,1.151140272149785,0.4870137081517818,0.0314810340661995,0.131296138104461,0.1375736513553095,Organic Unsweetened Almond Milk,Bag of Organic Bananas,Organic Unsweetened Almond Milk,dairy eggs,Bag of Organic Bananas,produce
frozenset({'Organic Reduced Fat 2% Milk'}),frozenset({'Organic Strawberries'}),0.0142606332528369,0.0857992344999697,0.0023408964018807,0.1641509433962264,1.913198227849974,1.0,0.0011173449853025,1.0937390648194494,0.4842202962773668,0.023955393405383,0.0857051447046224,0.0957171808317862,Organic Reduced Fat 2% Milk,Organic Strawberries,Organic Reduced Fat 2% Milk,dairy eggs,Organic Strawberries,produce
frozenset({'Total 0% Greek Yogurt'}),frozenset({'Banana'}),0.0082940381135603,0.1551886506884791,0.0024216169674628,0.291970802919708,1.8813927540732416,1.0,0.0011344763838606,1.1931871634606015,0.4723969496974795,0.0150353958276776,0.161908516431153,0.1537875730642839,Total 0% Greek Yogurt,Banana,Total 0% Greek Yogurt,dairy eggs,Banana,produce
frozenset({'100% Raw Coconut Water'}),frozenset({'Bag of Organic Bananas'}),0.0120979947666166,0.1253455849213983,0.0028285831522726,0.2338059494022796,1.86529066459656,1.0,0.001312152921875,1.1415573044403955,0.4695713967206863,0.0210123925644613,0.12400367803681,0.1281861130503938,100% Raw Coconut Water,Bag of Organic Bananas,100% Raw Coconut Water,beverages,Bag of Organic Bananas,produce
frozenset({'Organic Large Brown Grade AA Cage Free Eggs'}),frozenset({'Bag of Organic Bananas'}),0.0100799806270642,0.1253455849213983,0.0023476231156792,0.2328995662328996,1.85805959084196,1.0,0.0010841420479835,1.1402084741150802,0.4665065054637913,0.0176409634291202,0.1229674022760587,0.1258143854562587,Organic Large Brown Grade AA Cage Free Eggs,Bag of Organic Bananas,Organic Large Brown Grade AA Cage Free Eggs,dairy eggs,Bag of Organic Bananas,produce
frozenset({'Organic Whole Milk'}),frozenset({'Organic Raspberries'}),0.0432561330813057,0.0469490989566866,0.0037568696564667,0.0868517222610994,1.84991244115729,1.0,0.0017260331839488,1.0436978574862104,0.4802057173657962,0.0434579621055907,0.0418683023758028,0.0834358905022812,Organic Whole Milk,Organic Raspberries,Organic Whole Milk,dairy eggs,Organic Raspberries,produce
frozenset({'Organic Raspberries'}),frozenset({'Organic Whole Milk'}),0.0469490989566866,0.0432561330813057,0.0037568696564667,0.080020058743463,1.84991244115729,1.0,0.0017260331839488,1.03996166004657,0.482066460926768,0.0434579621055907,0.0384260897125578,0.0834358905022812,Organic Raspberries,Organic Whole Milk,Organic Raspberries,produce,Organic Whole Milk,dairy eggs
frozenset({'Organic Sticks Low Moisture Part Skim Mozzarella String Cheese'}),frozenset({'Bag of Organic Bananas'}),0.0112167952590121,0.1253455849213983,0.0025998748831233,0.2317841079460269,1.8491605276035372,1.0,0.0011938991204389,1.1385528783322156,0.464423409944674,0.0194074817976399,0.1216920891150631,0.1262628814926013,Organic Sticks Low Moisture Part Skim Mozzarella String Cheese,Bag of Organic Bananas,Organic Sticks Low Moisture Part Skim Mozzarella String Cheese,dairy eggs,Bag of Organic Bananas,produce
frozenset({'Blueberries'}),frozenset({'Banana'}),0.0189020657738075,0.1551886506884791,0.0054015511802019,0.2857651245551602,1.8414047888643363,1.0,0.0024681650975398,1.1828200755183726,0.4657397974167209,0.0320207357192702,0.154562878414328,0.160285739495239,Blueberries,Banana,Blueberries,frozen,Banana,produce
frozenset({'Apple Honeycrisp Organic'}),frozenset({'Organic Whole Milk'}),0.0280907568225694,0.0432561330813057,0.0022299056242054,0.0793821839080459,1.835165981176273,1.0,0.0010148081087337,1.0392410946163264,0.4682434742086772,0.0322627737226277,0.0377593753938432,0.0654666926071603,Apple Honeycrisp Organic,Organic Whole Milk,Apple Honeycrisp Organic,produce,Organic Whole Milk,dairy eggs
frozenset({'Organic Whole Milk'}),frozenset({'Apple Honeycrisp Organic'}),0.0432561330813057,0.0280907568225694,0.0022299056242054,0.0515512013062747,1.8351659811762728,1.0,0.0010148081087337,1.0247355940732032,0.4756656158210843,0.0322627737226277,0.024138513599281,0.0654666926071603,Organic Whole Milk,Apple Honeycrisp Organic,Organic Whole Milk,dairy eggs,Apple Honeycrisp Organic,produce
frozenset({'Organic Broccoli Florets'}),frozenset({'Bag of Organic Bananas'}),0.01091072978118,0.1253455849213983,0.0025090642468434,0.2299630086313193,1.8346319000826752,1.0,0.0011414524405021,1.1358602572117629,0.4599499208203721,0.0187597445053563,0.1196100104296843,0.1249900907705271,Organic Broccoli Florets,Bag of Organic Bananas,Organic Broccoli Florets,frozen,Bag of Organic Bananas,produce
frozenset({'Grated Parmesan'}),frozenset({'Organic Strawberries'}),0.0150812923362549,0.0857992344999697,0.0023610765432763,0.1565566458519179,1.8246858117594649,1.0,0.0010671132055553,1.0838911244056415,0.4588809631119714,0.0239655878738222,0.0773981099362204,0.0920376330004395,Grated Parmesan,Organic Strawberries,Grated Parmesan,dairy eggs,Organic Strawberries,produce
